Departamento,Localidad,Nivel Jurisdiccional,Nombre de Institución,CUE-Anexo,Inicial,Primario,Secundario,Superior
CONCEPCION,YAJARAVE,Consejo General de Educacion,ESCUELA Nº 961,1801529-00,NO,SI,NO,NO
CURUZU CUATIA,AGUAY,Consejo General de Educacion,"ESCUELA Nº 571 ""TENIENTE GENERAL PEDRO EUGENIO ARAMBURU""",1800354-00,NO,SI,NO,NO
CURUZU CUATIA,ARROYO MAROTE,Consejo General de Educacion,"ESCUELA Nº 576 """,1800033-00,SI,SI,NO,NO
CURUZU CUATIA,ARROYO PORTILLO,Consejo General de Educacion,ESCUELA Nº 864,1800161-00,SI,SI,NO,NO
CURUZU CUATIA,ARROYO PORTILLO,Direccion de Nivel Secundario,"EX.AU. COL. SEC ""BARNIDIO ABELARDO SORRIBES"" (ESC.864 RURAL)",1801474-03,NO,NO,SI,NO
CURUZU CUATIA,AVALOS,Consejo General de Educacion,"ESCUELA Nº 643 ""CAMPAMENTO AVALOS""",1800355-00,SI,SI,NO,NO
CURUZU CUATIA,BAIBIENE,Consejo General de Educacion,ESCUELA Nº 585,1800364-00,SI,SI,NO,NO
CURUZU CUATIA,BAIBIENE,Direccion de Enseñanza Privada,"E.F.A.""MENSU PEGUARA"" IS.46",1801571-00,NO,NO,SI,NO
CURUZU CUATIA,BAIBIENE,Direccion de Nivel Secundario,"EX.AU. COL. SEC ""BARNIDIO ABELARDO SORRIBES"" (ESC.585 RURAL)",1801474-02,NO,NO,SI,NO
CURUZU CUATIA,BASUALDO,Consejo General de Educacion,"ESCUELA Nº 813 ""FRANCISCO PODESTA""",1800020-00,SI,SI,NO,NO
CURUZU CUATIA,CAZADORES CORRENTINOS,Consejo General de Educacion,"ESCUELA Nº 572 ""CAZADORES CORRENTINOS""",1800022-00,SI,SI,NO,NO
CURUZU CUATIA,CAZADORES CORRENTINOS,Direccion de Nivel Secundario,COLEGIO SECUNDARIO EN CAZADORES CORRENTINOS,1801881-00,NO,NO,SI,NO
CURUZU CUATIA,COLONIA PAIRIRI,Consejo General de Educacion,"ESCUELA Nº 574 ""ELOISA BENITEZ DE CASAFUS""",1800021-00,SI,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 53,1801705-53,NO,SI,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA DE EDUCACION ESPECIAL Nº 7 ""DR.JUAN BALESTRA""",1800562-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 9 ""RAYITO DE SOL""",1800513-00,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 302 ""MALVINAS ARGENTINAS""",1800158-00,SI,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 32 ""BELGRANO""",1800563-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 321 ""HUGO OSCAR ROSENDE""",1800517-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 33 ""DR.TOMAS LUIS POZZI""",1800520-00,SI,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 36 ""MISIA ANTOÑITA VAZQUEZ""",1800120-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 435 ""CENTENARIO""",1800516-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 471 ""16 DE NOVIEMBRE""",1800561-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 564 ""DOMINGO FAUSTINO SARMIENTO""",1800515-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 565 ""DR. JUAN B. ALBERDI""",1800523-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA Nº 567 ""PASO DE LAS PIEDRAS""    ",1800049-00,SI,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 5 ""JOSE NICOLAS PAPALEO""",1800580-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 58,1800522-00,NO,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,J.I.N. Nº 42 - ESCUELA Nº 565,1801599-01,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,J.I.N. Nº 42 (SEDE),1801599-00,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,"J.I.N. Nº 43 ""IVOTI MINI"" - ESCUELA Nº 564",1801600-01,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,J.I.N. Nº 43 IVOTI MINI SEDE - ESCUELA Nº 321,1801600-00,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,J.I.N. Nº 44 - ESCUELA Nº 36,1801601-01,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Consejo General de Educacion,J.I.N. Nº 44 (SEDE),1801601-00,SI,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Educación Tecnico Profesional,ESCUELA AGROTECNICA EN CURUZU CUATIA,1801834-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Educación Tecnico Profesional,"ESCUELA TECNICA ""ING.JUAN JOSE GOMEZ ARAUJO""  ",1800558-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,"COLEGIO ""MAMA MARGARITA"" IP-11",1800512-00,SI,SI,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,"ENGLIHS CENTRE ""CURUZÚ CUATIÁ"" I-PROF. 70-EP 104",1801864-00,NO,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,"INSTITUTO ""MARIA AUXILIADORA"" I-15",1801261-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,"INSTITUTO ""NUESTRA SEÑORA DEL PILAR"" I.8",1800676-00,SI,SI,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,"INSTITUTO ""SAN RAFAEL"" I-5 / IP-8",1800511-00,SI,SI,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Enseñanza Privada,INSTITUTO CURUZUCUATIENSE DE LENGUA INGLESA I.PROF-64,1801842-00,NO,NO,NO,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,CENTRO DE EDUCACION SECUNDARIA PARA ADULTOS Nº 2,1800514-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""BARNIDIO ABELARDO SORRIBES""",1801474-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""GENERAL MANUEL BELGRANO""    ",1800559-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,COLEGIO SECUNDARIO EN CURUZU CUATIA,1801902-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO PARA ADOLESCENTES Y ADULTOS ""MALVINAS ARGENTINAS""",1800560-00,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,"EX.AU. COL. SEC ""BARNIDIO ABELARDO SORRIBES"" (ESC.33 RURAL)",1801474-01,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Secundario,"EXT.AULICA EN LA ESC. Nº 781 (COL.SECUNDARIO ""SRTA.IRMA R.BARBOSA FONTEINA"")",1800323-01,NO,NO,SI,NO
CURUZU CUATIA,CURUZU CUATIA,Direccion de Nivel Superior,INSTITUTO SUPERIOR DE CURUZU CUATIA,1800675-00,NO,NO,SI,SI
CURUZU CUATIA,EL CEIBO,Consejo General de Educacion,"ESCUELA Nº 250 ""JOSE FRANCISCO CANDIA""",1800031-00,SI,SI,NO,NO
CURUZU CUATIA,EL CHAÑAR,Consejo General de Educacion,"ESCUELA Nº 316 ""EL CHAÑAR""",1800025-00,NO,SI,NO,NO
CURUZU CUATIA,EMILIO R. CONI,Consejo General de Educacion,"ESCUELA Nº 220 ""BENITA G. DE MARTICORENA""",1800028-00,SI,SI,NO,NO
CURUZU CUATIA,ESPINILLO,Consejo General de Educacion,"ESCUELA Nº 230 ""FRAY LUIS BELTRAN""",1800027-00,SI,SI,NO,NO
CURUZU CUATIA,ESTANCIA LA CAUTIVA,Consejo General de Educacion,ESCUELA Nº 833,1800029-00,SI,SI,NO,NO
CURUZU CUATIA,ESTANCIA SAN JUAN,Consejo General de Educacion,ESCUELA Nº 346,1800018-00,SI,SI,NO,NO
CURUZU CUATIA,GARAY,Consejo General de Educacion,"ESCUELA Nº 963 ""JUAN FRANCISCO GÜENAGA""    ",1801530-00,SI,SI,NO,NO
CURUZU CUATIA,LA CAÑADA,Consejo General de Educacion,ESCUELA Nº 188,1800155-00,SI,SI,NO,NO
CURUZU CUATIA,LOBORY,Consejo General de Educacion,"ESCUELA Nº 767 ""PROVINCIA DE CORRIENTES""",1800521-00,SI,SI,NO,NO
CURUZU CUATIA,LOMAS,Consejo General de Educacion,ESCUELA Nº 206,1800275-00,NO,SI,NO,NO
CURUZU CUATIA,LOMAS,Consejo General de Educacion,ESCUELA Nº 366,1800274-00,SI,SI,NO,NO
CURUZU CUATIA,MALEZAL,Consejo General de Educacion,"ESCUELA Nº 880 ""GUSTAVO ANTONIO GRACIANO""",1800278-00,SI,SI,NO,NO
CURUZU CUATIA,MARIA CARAPE,Consejo General de Educacion,ESCUELA Nº 362,1800019-00,SI,SI,NO,NO
CURUZU CUATIA,MARIA CHICA,Consejo General de Educacion,"ESCUELA Nº 343 ""MARIA CHICA""",1800156-00,SI,SI,NO,NO
CURUZU CUATIA,ÑANDUBAY,Consejo General de Educacion,"ESCUELA Nº 867 ""III BRIGADA DE INFANTERIA""",1800283-00,NO,SI,NO,NO
CURUZU CUATIA,PAGO LARGO,Consejo General de Educacion,"ESCUELA Nº 570 ""PAGO LARGO""",1800023-00,SI,SI,NO,NO
CURUZU CUATIA,PALMITAS,Consejo General de Educacion,"ESCUELA Nº 839 ""MACACHA GUEMES""",1800277-00,SI,SI,NO,NO
CURUZU CUATIA,PASO TALA,Consejo General de Educacion,"ESCUELA Nº 39 ""CURUZU CAA""",1800321-00,NO,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 54,1801705-54,NO,SI,SI,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,"ESCUELA Nº 38 ""JOSE MARIA PAZ""",1800324-00,NO,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,ESCUELA Nº 40,1800160-00,SI,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,"ESCUELA Nº 410 ""PROVINCIA DE SANTA CRUZ""",1800282-00,NO,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,"ESCUELA Nº 781 ""PRIMERA JUNTA""",1800276-00,NO,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 38,1801760-01,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 39,1801760-02,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 781,1801760-03,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 867,1801760-04,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA,Consejo General de Educacion,J.I.N. Nº 58 (SEDE) - ESCUELA Nº 410,1801760-00,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA,Direccion de Enseñanza Privada,"E.F.A ""PEJU PORA"" I.S-53",1801634-00,NO,NO,SI,NO
CURUZU CUATIA,PERUGORRIA,Direccion de Enseñanza Privada,"ESCUELA ""SAN PEDRO APOSTOL"" IP-22",1800280-00,SI,SI,NO,NO
CURUZU CUATIA,PERUGORRIA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""SEÑORITA IRMA RITA BARBOSA FONTEINA""",1800323-00,NO,NO,SI,NO
CURUZU CUATIA,PERUGORRIA,Direccion de Nivel Secundario,"EXT.AULICA DE ADULTOS (COL.SECUNDARIO ""SEÑORITA IRMA RITA BARBOSA FONTEINA"")",1800323-02,NO,NO,SI,NO
CURUZU CUATIA,PERUGORRIA,Direccion de Nivel Superior,EXTENSION AULICA EN PERUGORRIA (I.F.D. MERCEDES),1801414-01,NO,NO,NO,SI
CURUZU CUATIA,PERUGORRIA (RURAL),Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 366,1801760-06,SI,NO,NO,NO
CURUZU CUATIA,PERUGORRIA (RURAL),Consejo General de Educacion,J.I.N. Nº 58 - ESCUELA Nº 571,1801760-05,SI,NO,NO,NO
CURUZU CUATIA,RINCON DE TUNAS,Consejo General de Educacion,"ESCUELA Nº 917 ""PEDRO ARZUAGA""",1800030-00,SI,SI,NO,NO
CURUZU CUATIA,SARANDI,Consejo General de Educacion,"ESCUELA Nº 37 ""CEFERINO NAMUNCURA""",1800017-00,SI,SI,NO,NO
CURUZU CUATIA,TIERRA COLORADA,Consejo General de Educacion,"ESCUELA Nº 925 ""GOBERNADOR ELIAS GALVAN""",1800279-00,SI,SI,NO,NO
CURUZU CUATIA,TRES BOCAS DEL YATAY,Consejo General de Educacion,"ESCUELA Nº 334""GENERAL JOSE MATIAS ZAPIOLA""",1800281-00,NO,SI,NO,NO
CURUZU CUATIA,TUNITAS,Consejo General de Educacion,"ESCUELA Nº 575 ""JUANA RAMIREZ DE BARRIENTOS""",1800363-00,SI,SI,NO,NO
CURUZU CUATIA,VACA CUA,Consejo General de Educacion,ESCUELA Nº 568,1800051-00,SI,SI,NO,NO
CURUZU CUATIA,VACA PASO,Consejo General de Educacion,ESCUELA Nº 339,1800322-00,NO,SI,NO,NO
EMPEDRADO,AHOMA SUR,Consejo General de Educacion,"ESCUELA Nº 442 ""JERONIMO REZZOAGLI""",1800722-00,NO,SI,NO,NO
EMPEDRADO,ALBARDONES,Consejo General de Educacion,ESCUELA Nº 838,1800717-00,SI,SI,NO,NO
EMPEDRADO,ARROYO EL SOMBRERO,Consejo General de Educacion,"ESCUELA PRIMARIA Nº 810 ""REGIDOR DON BERNARDO CASAFUS""",1800718-00,NO,SI,NO,NO
EMPEDRADO,ARROYO SOLIS,Consejo General de Educacion,"ESCUELA Nº 537 "" ADRIAN GODOY """,1800719-00,NO,SI,NO,NO
EMPEDRADO,ARROYO SOLIS,Consejo General de Educacion,J.I.N. Nº 68 - ESCUELA Nº 537,1801752-02,SI,NO,NO,NO
EMPEDRADO,BERNACHEA,Consejo General de Educacion,"ESCUELA Nº 49 ""DON GIL ROMERO""",1800056-00,NO,SI,NO,NO
EMPEDRADO,CAÑADA BAI,Consejo General de Educacion,ESCUELA Nº 819,1800849-00,SI,SI,NO,NO
EMPEDRADO,CAÑADA BURGOS,Consejo General de Educacion,ESCUELA PRIMARIA Nº 539,1800804-00,SI,SI,NO,NO
EMPEDRADO,COLONIA BROUGNES,Consejo General de Educacion,ESCUELA Nº 312,1800773-00,NO,SI,NO,NO
EMPEDRADO,COLONIA BROUGNES,Consejo General de Educacion,ESCUELA Nº 698,1800799-00,SI,SI,NO,NO
EMPEDRADO,COLONIA IMPARCIALES,Consejo General de Educacion,ESCUELA PRIMARIA Nº 268,1801200-00,NO,SI,NO,NO
EMPEDRADO,COLONIA IMPARCIALES,Direccion de Nivel Secundario,"EXT.AU. ESC. NORMAL ""DR. FERNANDO PIRAGINE NIVEYRO"" (ESC.268 RURAL)",1800124-01,NO,NO,SI,NO
EMPEDRADO,COLONIA SANZ,Consejo General de Educacion,"ESCUELA PRIMARIA Nº 540 ""GUMERSINDA SOLIS DE SANZ""",1800843-00,SI,SI,NO,NO
EMPEDRADO,COSTA DE EMPEDRADO,Consejo General de Educacion,ESCUELA Nº 46,1800864-00,SI,SI,NO,NO
EMPEDRADO,COSTA DE EMPEDRADO,Consejo General de Educacion,ESCUELA PRIMARIA COMUN Nº 921,1800704-00,SI,SI,NO,NO
EMPEDRADO,COSTA GRANDE,Consejo General de Educacion,"ESCUELA PRIMARIA Nº 747 ""INTENDENTE DR. ALFREDO MARIANO ECHEVERRIA""",1800706-00,SI,SI,NO,NO
EMPEDRADO,EL CARRIZAL,Consejo General de Educacion,ESCUELA Nº 238,1800772-00,NO,SI,NO,NO
EMPEDRADO,EL POLLO,Consejo General de Educacion,"ESCUELA Nº 51 ""BALBINO ROMERO""",1800055-00,SI,SI,NO,NO
EMPEDRADO,EL POLLO,Consejo General de Educacion,"ESCUELA Nº 536 ""ANGELICA UGOLINI""",1800707-00,SI,SI,NO,NO
EMPEDRADO,EL POLLO ESTE,Consejo General de Educacion,"ESCUELA Nº 932 ""ANGELA RAMIREZ DE ROMERO""",1800842-00,SI,SI,NO,NO
EMPEDRADO,EL SOMBRERO,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 40,1801705-40,NO,SI,SI,NO
EMPEDRADO,EL SOMBRERO,Consejo General de Educacion,ESCUELA PRIMARIA Nº 709,1800803-00,NO,SI,NO,NO
EMPEDRADO,EL SOMBRERO,Consejo General de Educacion,J.I.N. Nº 68 (SEDE) - ESCUELA Nº 709,1801752-00,SI,NO,NO,NO
EMPEDRADO,EL SOMBRERO,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""EL SOMBRERO""",1801652-00,NO,NO,SI,NO
EMPEDRADO,EL SOMBRERO,Direccion de Nivel Superior,"EXTENSION AULICA EL SOMBRERO (I.S.S.S. ""REMEDIOS DE ESCALADA SAN MARTIN"")",1800411-02,NO,NO,NO,SI
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 41,1801705-41,NO,SI,SI,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,ESCUELA DE EDUCACION ESPECIAL Nº 33,1801638-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,ESCUELA Nº 264,1801531-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,"ESCUELA Nº 43 ""GERVASIO GOMEZ""",1800829-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,"ESCUELA Nº 44 ""GOBENADOR DR. FERNANDO PIRAGINE NIVEIRO""",1800771-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,"ESCUELA Nº 448 ""SEÑOR HALLADO""",1800777-00,SI,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,"ESCUELA Nº 598 ""PROVINCIA DE SAN LUIS""",1800798-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 23,1800774-00,NO,SI,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,J.I.N. Nº 20 - ESCUELA Nº 43,1801602-01,SI,NO,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,J.I.N. Nº 20 - ESCUELA Nº 44,1801602-02,SI,NO,NO,NO
EMPEDRADO,EMPEDRADO,Consejo General de Educacion,J.I.N. Nº 20 (SEDE),1801602-00,SI,NO,NO,NO
EMPEDRADO,EMPEDRADO,Direccion de Educación Tecnico Profesional,ESCUELA TECNICA DE EMPEDRADO,1801891-00,NO,NO,SI,NO
EMPEDRADO,EMPEDRADO,Direccion de Enseñanza Privada,"COLEGIO ""SAGRADA FAMILIA"" IP9-IPP41-IS5",1800828-00,SI,SI,SI,NO
EMPEDRADO,EMPEDRADO,Direccion de Nivel Secundario,COLEGIO SECUNDARIO EN PJE.DERQUI,1801909-00,NO,NO,SI,NO
EMPEDRADO,EMPEDRADO,Direccion de Nivel Secundario,"ESCUELA NORMAL ""DR. FERNANDO PIRAGINE NIVEIRO""",1800124-00,SI,SI,SI,NO
EMPEDRADO,EMPEDRADO,Direccion de Nivel Superior,"INSTITUTO SUPERIOR DE FORMACION DOCENTE ""JULIO CORTAZAR""",1801451-00,NO,NO,NO,SI
EMPEDRADO,ESTACION MANUEL DERQUI,Consejo General de Educacion,"ESCUELA Nº 421 ""CATALINA ANTONIA BILLORDO""",1800780-00,NO,SI,NO,NO
EMPEDRADO,ESTACION MANUEL DERQUI,Consejo General de Educacion,J.I.N. Nº 68 - ESCUELA Nº 421,1801752-04,SI,NO,NO,NO
EMPEDRADO,LOMAS DE EMPEDRADO,Consejo General de Educacion,"ESCUELA Nº 449 ""CAPITAN DE FRAGATA PEDRO GIACHINO""",1800725-00,SI,SI,NO,NO
EMPEDRADO,LOMAS DE EMPEDRADO,Direccion de Educación Tecnico Profesional,"ESCUELA AGROTECNICA ""LOMAS DE EMPEDRADO""",1800832-00,NO,NO,SI,NO
EMPEDRADO,OCANTO CUE,Consejo General de Educacion,"ESCUELA Nº 750 ""ANGELICA M. B. DE MORALES""",1800727-00,NO,SI,NO,NO
EMPEDRADO,OCANTO CUE,Consejo General de Educacion,J.I.N. Nº 20 - ESCUELA Nº 750,1801602-03,SI,NO,NO,NO
EMPEDRADO,PASO QUINTANA,Consejo General de Educacion,ESCUELA Nº 48,1800865-00,NO,SI,NO,NO
EMPEDRADO,PELON ARROYO,Consejo General de Educacion,"ESCUELA Nº 50 ""GUARDIANES DEL PLANETA""",1800724-00,NO,SI,NO,NO
EMPEDRADO,PELON ARROYO,Consejo General de Educacion,J.I.N. Nº 68 - ESCUELA Nº 50,1801752-01,SI,NO,NO,NO
EMPEDRADO,PELON ARROYO,Direccion de Educación Tecnico Profesional,"EXT.AULICA ESCUELA AGROTECNICA ""LOMAS DE EMPEDRADO"" (ESC.Nº 50)",1800832-02,NO,NO,SI,NO
EMPEDRADO,REAL CUE,Consejo General de Educacion,ESCUELA Nº 704,1800705-00,NO,SI,NO,NO
EMPEDRADO,RINCON DEL MADREGON,Consejo General de Educacion,"ESCUELA Nº 52 ""JUAN TORRE DE VERA Y ARAGON""",1800708-00,SI,SI,NO,NO
EMPEDRADO,RINCON DEL SOMBRERO,Consejo General de Educacion,"ESCUELA Nº 724 ""REGIMIENTO DE INFANTERIA NUEVE CORONEL PAGOLA""",1800802-00,NO,SI,NO,NO
EMPEDRADO,SAN ISIDRO,Consejo General de Educacion,"ESCUELA Nº 684 ""PEDRO B. SAEZ""",1800805-00,SI,SI,NO,NO
EMPEDRADO,SAN JUANCITO,Consejo General de Educacion,ESCUELA Nº 705,1800726-00,SI,SI,NO,NO
EMPEDRADO,SAN JUANCITO,Consejo General de Educacion,ESCUELA Nº 914,1800850-00,SI,SI,NO,NO
EMPEDRADO,SAN LORENCITO,Consejo General de Educacion,"ESCUELA Nº 223 "" JOSE CALASANZ RAMIREZ""     ",1800844-00,NO,SI,NO,NO
EMPEDRADO,SANTA ROSA,Consejo General de Educacion,ESCUELA PRIMARIA Nº 267,1800723-00,SI,SI,NO,NO
EMPEDRADO,VILLA SAN ISIDRO,Consejo General de Educacion,J.I.N. Nº 68 (SEDE) - ESCUELA Nº 684,1801752-05,SI,NO,NO,NO
ESQUINA,ABRA GUAZU,Consejo General de Educacion,ESCUELA Nº 260,1800110-00,NO,SI,NO,NO
ESQUINA,AQUINO,Consejo General de Educacion,ESCUELA Nº 971,1801565-00,NO,SI,NO,NO
ESQUINA,BUENA VISTA,Consejo General de Educacion,"ESCUELA Nº 628 ""JOSE MARIA BONAS""",1800103-00,NO,SI,NO,NO
ESQUINA,CAMPO BORDON,Consejo General de Educacion,"ESCUELA Nº 713 ""ISLA GRAN MALVINA""",1800095-00,SI,SI,NO,NO
ESQUINA,CAMPO LA EMILIA,Consejo General de Educacion,ESCUELA Nº 31,1801147-00,SI,SI,NO,NO
ESQUINA,CAMPO PERNIZZA,Consejo General de Educacion,"ESCUELA Nº 624 ""PRIMERA JUNTA""",1800102-00,NO,SI,NO,NO
ESQUINA,CAMPO ROMERO,Consejo General de Educacion,"ESCUELA Nº 771 ""PLÁCIDO MITRE SOLMOIRAGO""",1800085-00,SI,SI,NO,NO
ESQUINA,CHACRA SUR,Consejo General de Educacion,J.I.N. Nº 53 (SEDE) - ESCUELA N° 623,1801725-00,SI,NO,NO,NO
ESQUINA,CHACRA SUR ESTE,Consejo General de Educacion,"ESCUELA Nº 528 ""PABLO A. PIZZURNO""",1800206-00,NO,SI,NO,NO
ESQUINA,CHACRA SUR ESTE,Consejo General de Educacion,J.I.N. Nº 63 - ESCUELA Nº 528,1801745-06,SI,NO,NO,NO
ESQUINA,CHACRAS NORTE,Consejo General de Educacion,ESCUELA Nº 622,1800109-00,NO,SI,NO,NO
ESQUINA,CHACRAS NORTE,Consejo General de Educacion,J.I.N. Nº 63 - ESCUELA Nº 622,1801745-01,SI,NO,NO,NO
ESQUINA,COLONIA BONZON,Consejo General de Educacion,"ESCUELA Nº 623 ""31 DE MARZO DE 1839""",1800184-00,NO,SI,NO,NO
ESQUINA,CORONEL ABRAHAM SCHWEIZER,Consejo General de Educacion,"ESCUELA Nº 699 ""JUAN EULOGIO BORDON""",1800083-00,NO,SI,NO,NO
ESQUINA,CORONEL ABRAHAM SCHWEIZER,Consejo General de Educacion,J.I.N. Nº 70 - ESCUELA Nº 699,1801755-03,SI,NO,NO,NO
ESQUINA,CORONEL ABRAHAM SCHWEIZER,Direccion de Enseñanza Privada,"EFA ""ESPERANZA CAMPESINA"" IS- 21",1801514-00,NO,NO,SI,NO
ESQUINA,EL PUEBLITO,Consejo General de Educacion,"ESCUELA Nº 715 ""HEROES DE MALVINAS""",1800084-00,NO,SI,NO,NO
ESQUINA,EL ROSARIO,Consejo General de Educacion,"ESCUELA Nº 659 ""ANGELA SELANDER DE GONZALEZ FERREIRO""",1800091-00,NO,SI,NO,NO
ESQUINA,ESQUINA,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 42,1801705-42,NO,SI,SI,NO
ESQUINA,ESQUINA,Consejo General de Educacion,"ESCUELA DE EDUCACION ESPECIAL Nº 13 ""GDOR.DIEGO DIAZ COLODRERO""",1800185-00,NO,SI,NO,NO
ESQUINA,ESQUINA,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 3 ""SEMILLITAS""",1800183-00,SI,NO,NO,NO
ESQUINA,ESQUINA,Consejo General de Educacion,"ESCUELA Nº 235 ""TTE. LUIS MARTELLA""",1800105-00,NO,SI,NO,NO
ESQUINA,ESQUINA,Consejo General de Educacion,"ESCUELA Nº 279 ""JUAN XXIII""",1800143-00,NO,SI,NO,NO
ESQUINA,ESQUINA,Consejo General de Educacion,ESCUELA Nº 284,1800100-00,SI,SI,NO,NO
